ACCIDENT_DATE,ACCIDENT_NO,ACCIDENT_TIME,ACCIDENT_TYPE,ALCOHOLTIME,ALCOHOL_RELATED,BICYCLIST,DAY_OF_WEEK,DCA_CODE,DEG_URBAN_ALL,DEG_URBAN_NAME,DRIVER,FATALITY,FEMALES,HEAVYVEHICLE,HIT_RUN_FLAG,INJ_OR_FATAL,LATITUDE,LGA_NAME,LGA_NAME_ALL,LIGHT_CONDITION,LONGITUDE,MALES,MOTORCYCLE,MOTORIST,NODE_TYPE,NONINJURED,NO_OF_VEHICLES,Number of Records,OBJECTID,OLD_DRIVER,OLD_PEDESTRIAN,OTHERINJURY,PASSENGERVEHICLE,PASSENGER,PEDESTRIAN,PED_CYCLIST_13_18,PED_CYCLIST_5_12,PILLION,POLICE_ATTEND,PUBLICVEHICLE,REGION_NAME,REGION_NAME_ALL,RMA,RMA_ALL,ROAD_GEOMETRY,RUN_OFFROAD,SERIOUSINJURY,SEVERITY,SPEED_ZONE,SRNS,SRNS_ALL,STAT_DIV_NAME,TOTAL_PERSONS,UNKNOWN,UNLICENCSED,YOUNG_DRIVER
23/4/18,T20180007668,17.55.00,Collision with vehicle,No,No,0,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),MELB_URBAN,MELB_URBAN,1,0,1,0,No,1,-37.75483,MANNINGHAM,MANNINGHAM,Dark Street lights on,145.13071,1,1,1,Intersection,1,2,1,3468423,0,0,0,1,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,"Arterial Other,Local Road",Cross intersection,No,1,Serious injury accident,60 km/hr,,,Metro,2,0,0,1
23/4/18,T20180007671,18.15.00,Struck Pedestrian,Yes,No,0,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MELB_URBAN,MELB_URBAN,1,0,1,0,No,1,-37.80186,MELBOURNE,MELBOURNE,Dark Street lights on,144.95783,1,0,0,Off Road,1,1,1,3468424,0,0,0,1,0,1,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,,,Not at intersection,No,1,Serious injury accident,40 km/hr,,,Metro,2,0,0,0
23/4/18,T20180007679,17.30.00,Collision with vehicle,No,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,1,0,No,2,-37.83291,WHITEHORSE,WHITEHORSE,Dusk/Dawn,145.20977,2,0,0,Non-Intersection,1,3,1,3468426,0,0,2,3,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,Arterial Other,Not at intersection,No,0,Other injury accident,80 km/hr,,,Metro,3,0,1,1
23/4/18,T20180007681,18.30.00,Collision with vehicle,Yes,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,0,0,No,1,-37.77993,BOROONDARA,BOROONDARA,Dark Street lights on,145.08995,3,0,0,Non-Intersection,2,3,1,3468427,0,0,1,3,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,100 km/hr,M,M,Metro,3,0,0,0
23/4/18,T20180007682,07.20.00,Collision with vehicle,No,No,1,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,1,0,0,0,No,1,-37.56092,BALLARAT,BALLARAT,Day,143.84744,2,0,0,Intersection,1,2,1,3468428,0,0,0,1,0,0,0,0,0,No,0,WESTERN REGION,WESTERN REGION,Arterial Other,Arterial Other,Cross intersection,No,1,Serious injury accident,60 km/hr,C,C,Country,2,0,0,0
23/4/18,T20180007685,19.30.00,Collision with a fixed object,Yes,Yes,0,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,TOWNS,TOWNS,1,0,0,0,No,1,-36.77771,STRATHBOGIE,STRATHBOGIE,Dark Street lights on,145.15608,1,0,0,Intersection,0,1,1,3468429,0,0,1,1,0,0,0,0,0,Yes,0,NORTH EASTERN REGION,NORTH EASTERN REGION,Local Road,Local Road,T intersection,Yes,0,Other injury accident,60 km/hr,,,Country,1,0,0,0
23/4/18,T20180007687,17.35.00,Collision with a fixed object,No,No,0,Monday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,RURAL_VICTORIA,RURAL_VICTORIA,1,1,0,0,No,1,-36.58424,BENALLA,BENALLA,Day,145.9037,1,0,0,Non-Intersection,0,1,1,3468430,0,0,0,1,0,0,0,0,0,Yes,0,NORTH EASTERN REGION,NORTH EASTERN REGION,Freeway,Freeway,Not at intersection,Yes,0,Fatal accident,110 km/hr,M,M,Country,1,0,0,0
23/4/18,T20180007692,17.50.00,Collision with vehicle,No,No,1,Monday,RIGHT THROUGH,MELB_URBAN,MELB_URBAN,1,0,1,0,Yes,1,-37.74745,DAREBIN,DAREBIN,Day,145.02426,1,0,0,Intersection,1,2,1,3468431,1,0,1,1,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Highway,"Arterial Highway,Local Road",Not at intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,0
23/4/18,T20180007693,20.15.00,Collision with vehicle,Yes,No,0,Monday,RIGHT NEAR (INTERSECTIONS ONLY),SMALL_CITIES,SMALL_CITIES,1,0,1,0,No,1,-38.26962,GEELONG,GEELONG,Dark No street lights,144.52123,1,1,1,Intersection,3,2,1,3468432,0,0,0,1,2,0,0,0,0,Yes,0,SOUTH WESTERN REGION,SOUTH WESTERN REGION,Arterial Other,"Arterial Other,Local Road",Cross intersection,No,1,Serious injury accident,50 km/hr,C,C,Country,4,0,0,0
24/4/18,T20180007701,05.55.00,Collision with vehicle,Yes,No,0,Tuesday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,0,No,1,-38.02939,CASEY,CASEY,Dark No street lights,145.27569,1,0,0,Non-Intersection,1,2,1,3468433,0,0,1,2,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,Arterial Other,Not at intersection,No,0,Other injury accident,70 km/hr,,,Metro,2,0,0,0
