ACCIDENT_DATE,ACCIDENT_NO,ACCIDENT_TIME,ACCIDENT_TYPE,ALCOHOLTIME,ALCOHOL_RELATED,BICYCLIST,DAY_OF_WEEK,DCA_CODE,DEG_URBAN_ALL,DEG_URBAN_NAME,DRIVER,FATALITY,FEMALES,HEAVYVEHICLE,HIT_RUN_FLAG,INJ_OR_FATAL,LATITUDE,LGA_NAME,LGA_NAME_ALL,LIGHT_CONDITION,LONGITUDE,MALES,MOTORCYCLE,MOTORIST,NODE_TYPE,NONINJURED,NO_OF_VEHICLES,Number of Records,OBJECTID,OLD_DRIVER,OLD_PEDESTRIAN,OTHERINJURY,PASSENGERVEHICLE,PASSENGER,PEDESTRIAN,PED_CYCLIST_13_18,PED_CYCLIST_5_12,PILLION,POLICE_ATTEND,PUBLICVEHICLE,REGION_NAME,REGION_NAME_ALL,RMA,RMA_ALL,ROAD_GEOMETRY,RUN_OFFROAD,SERIOUSINJURY,SEVERITY,SPEED_ZONE,SRNS,SRNS_ALL,STAT_DIV_NAME,TOTAL_PERSONS,UNKNOWN,UNLICENCSED,YOUNG_DRIVER
8/1/17,T20160026415,12.20.00,Collision with vehicle,No,No,0,,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,1,0,1,0,No,1,-37.81125,MELBOURNE,MELBOURNE,Day,144.93391,1,0,0,Non-Intersection,1,2,1,3449602,0,0,1,1,1,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,2,0,0,0
24/1/17,T20170001849,14.20.00,Collision with vehicle,No,No,0,Tuesday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,1,1,No,1,-37.81968,MELBOURNE,MELBOURNE,Day,144.93211,1,0,0,Non-Intersection,2,3,1,3451141,0,0,1,2,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,3,0,0,0
15/1/17,T20170000878,16.11.00,Collision with vehicle,Yes,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,5,0,4,0,No,2,-37.81763,MELBOURNE,MELBOURNE,Day,144.933,6,0,0,Non-Intersection,8,5,1,3451523,0,0,2,5,5,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,10,0,1,1
6/1/17,T20170000281,11.00.00,Vehicle overturned (no collision),No,No,0,Thursday,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),MELB_URBAN,MELB_URBAN,0,0,0,0,No,1,-37.82818,PORT PHILLIP,PORT PHILLIP,Day,144.93074,1,1,1,Non-Intersection,0,1,1,3451952,0,0,0,0,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,1,Serious injury accident,100 km/hr,M,M,Metro,1,0,0,0
4/3/17,T20170004416,12.20.00,Collision with vehicle,No,No,0,Saturday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,1,0,No,2,-37.82086,MELBOURNE,MELBOURNE,Day,144.93181,7,0,0,Non-Intersection,6,3,1,3453133,0,0,2,2,5,0,0,0,0,Yes,1,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,8,0,0,0
25/2/17,T20170003821,13.11.00,Collision with vehicle,No,No,0,Saturday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,5,0,7,0,No,3,-37.80929,MELBOURNE,MELBOURNE,Day,144.93374,2,0,0,Intersection,6,5,1,3453502,0,0,3,5,4,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,"Freeway,Arterial Highway",Not at intersection,No,0,Other injury accident,80 km/hr,M,M,Metro,9,0,0,1
11/2/17,T20170002780,22.03.00,Collision with vehicle,Yes,No,0,Friday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,0,Yes,1,-37.81281,MELBOURNE,MELBOURNE,Dark Street lights on,144.93415,1,0,0,Non-Intersection,2,3,1,3453878,0,0,1,2,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,60 km/hr,M,M,Metro,3,1,1,0
17/4/17,T20170007683,10.30.00,Collision with vehicle,No,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,0,No,1,-37.82442,MELBOURNE,MELBOURNE,Day,144.93066,1,0,0,Non-Intersection,1,2,1,3454203,0,0,1,1,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,Not known,M,M,Metro,2,0,0,0
18/4/17,T20170008072,10.59.00,Collision with vehicle,No,No,0,Tuesday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,5,0,3,0,No,1,-37.81877,MELBOURNE,MELBOURNE,Day,144.93256,5,0,0,Non-Intersection,8,5,1,3454215,0,0,1,5,4,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,0,Other injury accident,60 km/hr,M,M,Metro,9,0,0,0
2/4/17,T20170006636,13.49.00,Collision with vehicle,No,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,4,0,6,0,No,6,-37.8194,MELBOURNE,MELBOURNE,Day,144.93234,2,0,0,Non-Intersection,2,4,1,3455230,0,0,3,4,4,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Freeway,Freeway,Not at intersection,No,3,Serious injury accident,80 km/hr,M,M,Metro,8,0,0,0
